source	destinations_disconnected_to
NR1I3	CRLF3	TDRKH
CAH1	CRLF3	TDRKH
SL9A7	CRLF3	TDRKH
ACM4	CRLF3	TDRKH
TOP1	CRLF3	TDRKH
DHB8	CRLF3	TDRKH
FABP6	CRLF3	TDRKH
GABR1	CRLF3	TDRKH
LY66C	CRLF3	TDRKH
GLNA	CRLF3	TDRKH
SCN1A	CRLF3	TDRKH
HDAC3	CRLF3	TDRKH
RENI	CRLF3	TDRKH
