source	dest	edges	cum_dist	avg_dist_per_edge
HS90B	APOL2	4	0.553	0.13825
HS90B	KLK5	5	0.687	0.1374
HS90B	CYR61	4	0.275	0.06875
HS90B	ALX1	4	0.559	0.13975
HS90B	SNX27	5	0.737	0.1474
HS90B	PTPRG	5	0.678	0.1356
HS90B	LAGE3	4	0.781	0.19525
HS90B	RBM22	5	0.873	0.1746
HS90B	ASXL1	4	0.264	0.066
HS90B	VGLL3	5	0.485	0.097
HS90B	SSX1	4	0.939	0.23475
HS90B	ACLY	4	0.359	0.08975
HS90B	BTK	2	0.461	0.2305
ADA2A	SFPQ	5	0.356	0.0712
ADA2A	JPH3	4	0.624	0.156
ADA2A	CDHR1	5	0.477	0.0954
ADA2A	APOL2	5	0.59	0.118
ADA2A	KLK5	4	0.676	0.169
ADA2A	CYR61	3	0.304	0.101333333333333
ADA2A	ALX1	5	0.596	0.1192
ADA2A	SNX27	4	0.61	0.1525
ADA2A	PTPRG	2	0.53	0.265
ADA2A	LAGE3	5	0.975	0.195
ADA2A	RBM22	7	0.723	0.103285714285714
ADA2A	ASXL1	5	0.301	0.0602
ADA2A	VGLL3	5	0.507	0.1014
ADA2A	SSX1	7	0.996	0.142285714285714
ADA2A	ACLY	3	0.283	0.0943333333333333
ADA2A	BTK	3	0.655	0.218333333333333
CACP	SFPQ	6	0.972	0.162
CACP	JPH3	8	1.223	0.152875
CACP	CDHR1	10	0.861	0.0861
CACP	APOL2	6	1.1	0.183333333333333
CACP	KLK5	6	0.886	0.147666666666667
CACP	CYR61	7	0.995	0.142142857142857
CACP	ALX1	4	1.213	0.30325
CACP	SNX27	6	0.793	0.132166666666667
CACP	PTPRG	5	0.853	0.1706
CACP	LAGE3	7	0.949	0.135571428571429
CACP	RBM22	8	0.991	0.123875
CACP	ASXL1	7	0.974	0.139142857142857
CACP	VGLL3	6	0.841	0.140166666666667
CACP	SSX1	6	1.305	0.2175
CACP	ACLY	2	0.224	0.112
CACP	BTK	7	0.975	0.139285714285714
RARA	SFPQ	3	0.162	0.054
RARA	JPH3	4	0.569	0.14225
RARA	CDHR1	5	0.419	0.0838
RARA	APOL2	2	0.424	0.212
RARA	KLK5	5	0.521	0.1042
RARA	CYR61	3	0.246	0.082
RARA	ALX1	4	0.427	0.10675
RARA	SNX27	5	0.67	0.134
